  0.000000e+00  0.000000e+00  0.000000e+00  2.632981e-04  0.000000e+00  3.307637e-04  1.000000e+00  2.961241e-01  0.000000e+00  4.421986e-01  0.000000e+00 -5.387198e-12  0.000000e+00  3.094902e+00
  8.353352e-03  3.490765e+01  1.387248e+01  2.668245e+00  9.559058e-01  1.613479e+00  8.186212e-02  1.586875e-01  1.526904e-01  1.605918e-01 -9.099171e-01  1.599637e-02 -1.575070e-03  3.540865e+00
  8.943304e-03  3.737299e+01  1.406392e+01  2.631118e+00  9.785632e-01  1.619290e+00  7.344273e-02  1.548166e-01  1.473662e-01  1.537334e-01 -9.177307e-01  1.631997e-02 -1.596654e-03  3.534579e+00
  9.549021e-03  3.990421e+01  1.424091e+01  2.596923e+00  9.986288e-01  1.623525e+00  6.640425e-02  1.509218e-01  1.422853e-01  1.473869e-01 -9.241479e-01  1.661063e-02 -1.615803e-03  3.525470e+00
  1.017020e-02  4.250003e+01  1.440560e+01  2.565728e+00  1.016333e+00  1.626401e+00  6.049062e-02  1.470397e-01  1.374686e-01  1.415360e-01 -9.294260e-01  1.687280e-02 -1.633220e-03  3.513946e+00
  1.080653e-02  4.515918e+01  1.455981e+01  2.537497e+00  1.031899e+00  1.628101e+00  5.549342e-02  1.432010e-01  1.329252e-01  1.361555e-01 -9.337733e-01  1.711053e-02 -1.649036e-03  3.500395e+00
  1.145773e-02  4.788048e+01  1.470505e+01  2.512119e+00  1.045538e+00  1.628784e+00  5.124415e-02  1.394307e-01  1.286544e-01  1.312136e-01 -9.373592e-01  1.732797e-02 -1.663459e-03  3.485149e+00
  1.212353e-02  5.066277e+01  1.484256e+01  2.489434e+00  1.057450e+00  1.628590e+00  4.760613e-02  1.357480e-01  1.246491e-01  1.266741e-01 -9.403208e-01  1.752875e-02 -1.676782e-03  3.468515e+00
  1.280365e-02  5.350492e+01  1.497341e+01  2.469253e+00  1.067820e+00  1.627638e+00  4.446922e-02  1.321661e-01  1.208973e-01  1.224993e-01 -9.427690e-01  1.771532e-02 -1.689788e-03  3.450802e+00
  1.349784e-02  5.640586e+01  1.509846e+01  2.451368e+00  1.076819e+00  1.626035e+00  4.174396e-02  1.286958e-01  1.173842e-01  1.186545e-01 -9.447936e-01  1.788815e-02 -1.703143e-03  3.432304e+00
  1.420585e-02  5.936453e+01  1.521843e+01  2.435572e+00  1.084605e+00  1.623873e+00  3.935819e-02  1.253448e-01  1.140935e-01  1.151058e-01 -9.464677e-01  1.804664e-02 -1.716893e-03  3.413275e+00
